2026-01-31 23:41:05 | INFO | Epoch 003 | Step 00400 | Loss 0.00038 | MSE 0.00036 | L1 0.00002 | L0 795.03 | R2 0.9868
2026-01-31 23:41:35 | INFO | Epoch 003 | Step 00500 | Loss 0.00033 | MSE 0.00031 | L1 0.00002 | L0 795.58 | R2 0.9879
2026-01-31 23:42:05 | INFO | Epoch 003 | Step 00600 | Loss 0.00036 | MSE 0.00033 | L1 0.00002 | L0 793.86 | R2 0.9873
2026-01-31 23:42:35 | INFO | Epoch 003 | Step 00700 | Loss 0.00042 | MSE 0.00039 | L1 0.00002 | L0 790.67 | R2 0.9855
2026-01-31 23:42:59 | INFO | Epoch 004 | Step 00000 | Loss 0.00039 | MSE 0.00036 | L1 0.00002 | L0 793.83 | R2 0.9870
2026-01-31 23:43:29 | INFO | Epoch 004 | Step 00100 | Loss 0.00035 | MSE 0.00032 | L1 0.00002 | L0 794.67 | R2 0.9880
2026-01-31 23:43:59 | INFO | Epoch 004 | Step 00200 | Loss 0.00032 | MSE 0.00030 | L1 0.00002 | L0 795.11 | R2 0.9881
2026-01-31 23:44:29 | INFO | Epoch 004 | Step 00300 | Loss 0.00039 | MSE 0.00037 | L1 0.00002 | L0 793.67 | R2 0.9860
2026-01-31 23:44:58 | INFO | Epoch 004 | Step 00400 | Loss 0.00026 | MSE 0.00024 | L1 0.00002 | L0 795.39 | R2 0.9912
2026-01-31 23:45:28 | INFO | Epoch 004 | Step 00500 | Loss 0.00041 | MSE 0.00039 | L1 0.00002 | L0 790.94 | R2 0.9854
2026-01-31 23:45:58 | INFO | Epoch 004 | Step 00600 | Loss 0.00032 | MSE 0.00030 | L1 0.00002 | L0 796.62 | R2 0.9889
2026-01-31 23:46:27 | INFO | Epoch 004 | Step 00700 | Loss 0.00031 | MSE 0.00028 | L1 0.00003 | L0 795.80 | R2 0.9898
2026-01-31 23:46:52 | INFO | Epoch 005 | Step 00000 | Loss 0.00030 | MSE 0.00028 | L1 0.00002 | L0 793.48 | R2 0.9901
2026-01-31 23:47:21 | INFO | Epoch 005 | Step 00100 | Loss 0.00025 | MSE 0.00023 | L1 0.00002 | L0 792.81 | R2 0.9917
2026-01-31 23:47:50 | INFO | Epoch 005 | Step 00200 | Loss 0.00025 | MSE 0.00023 | L1 0.00002 | L0 793.69 | R2 0.9914
2026-01-31 23:48:19 | INFO | Epoch 005 | Step 00300 | Loss 0.00025 | MSE 0.00023 | L1 0.00002 | L0 795.73 | R2 0.9913
2026-01-31 23:48:48 | INFO | Epoch 005 | Step 00400 | Loss 0.00023 | MSE 0.00021 | L1 0.00002 | L0 793.98 | R2 0.9923
2026-01-31 23:49:17 | INFO | Epoch 005 | Step 00500 | Loss 0.00025 | MSE 0.00022 | L1 0.00002 | L0 794.47 | R2 0.9921
